Number;Region;data;confirmed;dead;recovered
1;Vinnytsia;14.06.20;21;0;11
2;Volyn;22.01.20;0;0;0
2;Volyn;23.01.20;0;0;0
2;Volyn;24.01.20;0;0;0
2;Volyn;25.01.20;0;0;0
2;Volyn;26.01.20;0;0;0
2;Volyn;27.01.20;0;0;0
2;Volyn;28.01.20;0;0;0
2;Volyn;29.01.20;0;0;0
2;Volyn;30.01.20;0;0;0
2;Volyn;31.01.20;0;0;0
2;Volyn;01.02.20;0;0;0
2;Volyn;02.02.20;0;0;0
2;Volyn;03.02.20;0;0;0
2;Volyn;04.02.20;0;0;0
2;Volyn;05.02.20;0;0;0
2;Volyn;06.02.20;0;0;0
2;Volyn;07.02.20;0;0;0
2;Volyn;08.02.20;0;0;0
2;Volyn;09.02.20;0;0;0
2;Volyn;10.02.20;0;0;0
2;Volyn;11.02.20;0;0;0
2;Volyn;12.02.20;0;0;0
2;Volyn;13.02.20;0;0;0
2;Volyn;14.02.20;0;0;0
2;Volyn;15.02.20;0;0;0
2;Volyn;16.02.20;0;0;0
2;Volyn;17.02.20;0;0;0
2;Volyn;18.02.20;0;0;0
2;Volyn;19.02.20;0;0;0
2;Volyn;20.02.20;0;0;0
2;Volyn;21.02.20;0;0;0
2;Volyn;22.02.20;0;0;0
2;Volyn;23.02.20;0;0;0
2;Volyn;24.02.20;0;0;0
2;Volyn;25.02.20;0;0;0
2;Volyn;26.02.20;0;0;0
2;Volyn;27.02.20;0;0;0
2;Volyn;28.02.20;0;0;0
2;Volyn;29.02.20;0;0;0
2;Volyn;01.03.20;0;0;0
2;Volyn;02.03.20;0;0;0
2;Volyn;03.03.20;0;0;0
2;Volyn;04.03.20;0;0;0
2;Volyn;05.03.20;0;0;0
2;Volyn;06.03.20;0;0;0
2;Volyn;07.03.20;0;0;0
2;Volyn;08.03.20;0;0;0
2;Volyn;09.03.20;0;0;0
2;Volyn;10.03.20;0;0;0
2;Volyn;11.03.20;0;0;0
2;Volyn;12.03.20;0;0;0
2;Volyn;13.03.20;0;0;0
2;Volyn;14.03.20;0;0;0
2;Volyn;15.03.20;0;0;0
2;Volyn;16.03.20;0;0;0
2;Volyn;17.03.20;0;0;0
2;Volyn;18.03.20;0;0;0
2;Volyn;19.03.20;0;0;0
2;Volyn;20.03.20;0;0;0
2;Volyn;21.03.20;0;0;0
2;Volyn;22.03.20;0;0;0
2;Volyn;23.03.20;0;0;0
2;Volyn;24.03.20;1;0;0
2;Volyn;25.03.20;1;0;0
2;Volyn;26.03.20;0;0;0
2;Volyn;27.03.20;0;0;0
2;Volyn;28.03.20;0;0;0
2;Volyn;29.03.20;0;1;0
2;Volyn;30.03.20;1;0;0
2;Volyn;31.03.20;4;0;0
2;Volyn;01.04.20;3;0;0
2;Volyn;02.04.20;0;0;0
2;Volyn;03.04.20;7;1;0
2;Volyn;04.04.20;2;0;0
2;Volyn;05.04.20;7;0;0
2;Volyn;06.04.20;8;0;0
2;Volyn;07.04.20;2;0;0
2;Volyn;08.04.20;3;0;0
2;Volyn;09.04.20;5;0;1
2;Volyn;10.04.20;18;0;1
2;Volyn;11.04.20;10;1;0
2;Volyn;12.04.20;7;0;0
2;Volyn;13.04.20;12;1;1
2;Volyn;14.04.20;15;0;0
2;Volyn;15.04.20;14;0;0
2;Volyn;16.04.20;7;0;8
2;Volyn;17.04.20;23;0;1
2;Volyn;18.04.20;2;0;1
2;Volyn;19.04.20;8;0;0
2;Volyn;20.04.20;16;0;0
2;Volyn;21.04.20;8;0;4
2;Volyn;22.04.20;17;0;7
2;Volyn;23.04.20;9;0;6
2;Volyn;24.04.20;16;1;18
2;Volyn;25.04.20;22;1;0
2;Volyn;26.04.20;11;0;1
2;Volyn;27.04.20;8;0;4
2;Volyn;28.04.20;11;0;7
2;Volyn;29.04.20;18;0;6
2;Volyn;30.04.20;16;0;0
2;Volyn;01.05.20;11;0;4
2;Volyn;02.05.20;12;1;5
2;Volyn;03.05.20;9;0;0
2;Volyn;04.05.20;14;0;18
2;Volyn;05.05.20;27;2;20
2;Volyn;06.05.20;20;1;5
2;Volyn;07.05.20;30;0;1
2;Volyn;08.05.20;34;0;1
2;Volyn;09.05.20;15;1;0
2;Volyn;10.05.20;7;0;1
2;Volyn;11.05.20;19;2;5
2;Volyn;12.05.20;15;0;3
2;Volyn;13.05.20;39;4;11
2;Volyn;14.05.20;26;0;2
2;Volyn;15.05.20;17;0;7
2;Volyn;16.05.20;16;0;1
2;Volyn;17.05.20;7;0;0
2;Volyn;18.05.20;40;1;9
2;Volyn;19.05.20;24;3;10
2;Volyn;20.05.20;31;0;4
2;Volyn;21.05.20;31;1;5
2;Volyn;22.05.20;13;0;5
2;Volyn;23.05.20;15;1;0
2;Volyn;24.05.20;23;1;0
2;Volyn;25.05.20;8;0;14
2;Volyn;26.05.20;18;0;13
2;Volyn;27.05.20;36;1;22
2;Volyn;28.05.20;14;0;4
2;Volyn;29.05.20;16;1;22
2;Volyn;30.05.20;27;0;3
2;Volyn;31.05.20;14;0;2
2;Volyn;01.06.20;12;0;10
2;Volyn;02.06.20;16;2;16
2;Volyn;03.06.20;20;2;6
2;Volyn;04.06.20;27;2;0
2;Volyn;05.06.20;29;0;11
2;Volyn;06.06.20;13;0;0
2;Volyn;07.06.20;27;2;0
2;Volyn;08.06.20;35;2;0
2;Volyn;09.06.20;99;3;24
2;Volyn;10.06.20;51;1;14
2;Volyn;11.06.20;45;2;39
2;Volyn;12.06.20;40;1;63
2;Volyn;13.06.20;43;0;3
2;Volyn;14.06.20;41;0;0
3;Dnipropetrovsk;22.01.20;0;0;0
3;Dnipropetrovsk;23.01.20;0;0;0
