Number        Region        Date          Confirmed     Dead          Recovered     
             1Vinnytsia         21.05.2020            33             1            16
             1Vinnytsia         22.05.2020            34             1            24
             1Vinnytsia         23.05.2020            29             0             7
             1Vinnytsia         24.05.2020            12             0             0
             1Vinnytsia         25.05.2020            20             0            10
             1Vinnytsia         26.05.2020            15             0            19
             1Vinnytsia         27.05.2020            12             1            35
             1Vinnytsia         28.05.2020             8             0            21
             1Vinnytsia         29.05.2020            27             0             0
             1Vinnytsia         30.05.2020             8             0             0
             1Vinnytsia         31.05.2020            28             0            32
             1Vinnytsia         01.06.2020            15             0            32
             1Vinnytsia         02.06.2020            18             0            38
             1Vinnytsia         03.06.2020            29             0            19
             1Vinnytsia         04.06.2020            17             1            20
             1Vinnytsia         05.06.2020            21             0            24
             1Vinnytsia         06.06.2020            23             1             0
             1Vinnytsia         07.06.2020            21             1             7
             1Vinnytsia         08.06.2020            25             1             0
             1Vinnytsia         09.06.2020            27             0            39
             1Vinnytsia         10.06.2020            58             0            41
             1Vinnytsia         11.06.2020            56             0            24
             1Vinnytsia         12.06.2020            34             1            18
             1Vinnytsia         13.06.2020            34             2             0
             1Vinnytsia         14.06.2020            21             0            11
             2Volyn             22.01.2020             0             0             0
             2Volyn             23.01.2020             0             0             0
             2Volyn             24.01.2020             0             0             0
             2Volyn             25.01.2020             0             0             0
             2Volyn             26.01.2020             0             0             0
             2Volyn             27.01.2020             0             0             0
             2Volyn             28.01.2020             0             0             0
             2Volyn             29.01.2020             0             0             0
             2Volyn             30.01.2020             0             0             0
             2Volyn             31.01.2020             0             0             0
             2Volyn             01.02.2020             0             0             0
             2Volyn             02.02.2020             0             0             0
             2Volyn             03.02.2020             0             0             0
             2Volyn             04.02.2020             0             0             0
             2Volyn             05.02.2020             0             0             0
             2Volyn             06.02.2020             0             0             0
             2Volyn             07.02.2020             0             0             0
             2Volyn             08.02.2020             0             0             0
             2Volyn             09.02.2020             0             0             0
             2Volyn             10.02.2020             0             0             0
             2Volyn             11.02.2020             0             0             0
             2Volyn             12.02.2020             0             0             0
             2Volyn             13.02.2020             0             0             0
             2Volyn             14.02.2020             0             0             0
             2Volyn             15.02.2020             0             0             0
             2Volyn             16.02.2020             0             0             0
             2Volyn             17.02.2020             0             0             0
             2Volyn             18.02.2020             0             0             0
             2Volyn             19.02.2020             0             0             0
             2Volyn             20.02.2020             0             0             0
             2Volyn             21.02.2020             0             0             0
             2Volyn             22.02.2020             0             0             0
             2Volyn             23.02.2020             0             0             0
             2Volyn             24.02.2020             0             0             0
             2Volyn             25.02.2020             0             0             0
             2Volyn             26.02.2020             0             0             0
             2Volyn             27.02.2020             0             0             0
             2Volyn             28.02.2020             0             0             0
             2Volyn             29.02.2020             0             0             0
             2Volyn             01.03.2020             0             0             0
             2Volyn             02.03.2020             0             0             0
             2Volyn             03.03.2020             0             0             0
             2Volyn             04.03.2020             0             0             0
             2Volyn             05.03.2020             0             0             0
             2Volyn             06.03.2020             0             0             0
             2Volyn             07.03.2020             0             0             0
             2Volyn             08.03.2020             0             0             0
             2Volyn             09.03.2020             0             0             0
             2Volyn             10.03.2020             0             0             0
             2Volyn             11.03.2020             0             0             0
             2Volyn             12.03.2020             0             0             0
             2Volyn             13.03.2020             0             0             0
             2Volyn             14.03.2020             0             0             0
             2Volyn             15.03.2020             0             0             0
             2Volyn             16.03.2020             0             0             0
             2Volyn             17.03.2020             0             0             0
             2Volyn             18.03.2020             0             0             0
             2Volyn             19.03.2020             0             0             0
             2Volyn             20.03.2020             0             0             0
             2Volyn             21.03.2020             0             0             0
             2Volyn             22.03.2020             0             0             0
             2Volyn             23.03.2020             0             0             0
             2Volyn             24.03.2020             1             0             0
             2Volyn             25.03.2020             1             0             0
             2Volyn             26.03.2020             0             0             0
             2Volyn             27.03.2020             0             0             0
             2Volyn             28.03.2020             0             0             0
             2Volyn             29.03.2020             0             1             0
             2Volyn             30.03.2020             1             0             0
             2Volyn             31.03.2020             4             0             0
             2Volyn             01.04.2020             3             0             0
             2Volyn             02.04.2020             0             0             0
             2Volyn             03.04.2020             7             1             0
             2Volyn             04.04.2020             2             0             0
             2Volyn             05.04.2020             7             0             0
             2Volyn             06.04.2020             8             0             0
             2Volyn             07.04.2020             2             0             0
             2Volyn             08.04.2020             3             0             0
             2Volyn             09.04.2020             5             0             1
             2Volyn             10.04.2020            18             0             1
             2Volyn             11.04.2020            10             1             0
             2Volyn             12.04.2020             7             0             0
             2Volyn             13.04.2020            12             1             1
             2Volyn             14.04.2020            15             0             0
             2Volyn             15.04.2020            14             0             0
             2Volyn             16.04.2020             7             0             8
             2Volyn             17.04.2020            23             0             1
             2Volyn             18.04.2020             2             0             1
             2Volyn             19.04.2020             8             0             0
             2Volyn             20.04.2020            16             0             0
             2Volyn             21.04.2020             8             0             4
